q0 q7
q0 + q1
q0 - q3
q1 - q2
q2 + q1
q3 + q4
q4 - q3
q0 . q6
q0 0 q5
q0 1 q5
q0 2 q5
q0 3 q5
q0 4 q5
q0 5 q5
q0 6 q5
q0 7 q5
q0 8 q5
q0 9 q5
q1 . q6
q1 0 q5
q1 1 q5
q1 2 q5
q1 3 q5
q1 4 q5
q1 5 q5
q1 6 q5
q1 7 q5
q1 8 q5
q1 9 q5
q2 . q6
q2 0 q5
q2 1 q5
q2 2 q5
q2 3 q5
q2 4 q5
q2 5 q5
q2 6 q5
q2 7 q5
q2 8 q5
q2 9 q5
q3 . q6
q3 0 q5
q3 1 q5
q3 2 q5
q3 3 q5
q3 4 q5
q3 5 q5
q3 6 q5
q3 7 q5
q3 8 q5
q3 9 q5
q4 . q6
q4 0 q5
q4 1 q5
q4 2 q5
q4 3 q5
q4 4 q5
q4 5 q5
q4 6 q5
q4 7 q5
q4 8 q5
q4 9 q5
q5 . q6
q5 0 q5
q5 1 q5
q5 2 q5
q5 3 q5
q5 4 q5
q5 5 q5
q5 6 q5
q5 7 q5
q5 8 q5
q5 9 q5
q5 _ q9
q9 _ q9
q9 0 q5
q9 1 q5
q9 2 q5
q9 3 q5
q9 4 q5
q9 5 q5
q9 6 q5
q9 7 q5
q9 8 q5
q9 9 q5
q6 0 q7
q6 1 q7
q6 2 q7
q6 3 q7
q6 4 q7
q6 5 q7
q6 6 q7
q6 7 q7
q6 8 q7
q6 9 q7
q7 0 q7
q7 1 q7
q7 2 q7
q7 3 q7
q7 4 q7
q7 5 q7
q7 6 q7
q7 7 q7
q7 8 q7
q7 9 q7
q7 _ q8
q8 _ q8
q8 0 q7
q8 1 q7
q8 2 q7
q8 3 q7
q8 4 q7
q8 5 q7
q8 6 q7
q8 7 q7
q8 8 q7
q8 9 q7
